['full', 'espcn', 'PSNR: 32.5957486812885', 'eval_batch_size: 64', 'time/pic: 0.0002240165789029125']
['full', 'espcn', 'PSNR: 35.74954018226037', 'eval_batch_size: 64', 'time/pic: 0.00020493312126092995']
['full', 'espcn', 'PSNR: 35.72762078505296', 'eval_batch_size: 64', 'time/pic: 0.0002038374673412385']
['full', 'espcn', 'PSNR: 35.57537783109225', 'eval_batch_size: 64', 'time/pic: 0.00020504518692264248']
['full', 'espcn', 'PSNR: 35.80756612924429', 'eval_batch_size: 64', 'time/pic: 0.00020664714546536983']
['full', 'espcn', 'PSNR: 35.73428418086125', 'eval_batch_size: 64', 'time/pic: 0.00020385205224807492']
['full', 'espcn', 'PSNR: 33.80017560187807', 'eval_batch_size: 64', 'time/pic: 0.00012442424671728716']
['full', 'espcn', 'PSNR: 33.80419143920249', 'eval_batch_size: 64', 'time/pic: 0.00012318228989812777']
['full', 'espcn', 'PSNR: 33.40033993416644', 'eval_batch_size: 64', 'time/pic: 0.0001243418462859355']
['full', 'espcn', 'PSNR: 34.139484003756905', 'eval_batch_size: 64', 'time/pic: 0.00012073362612660041']
['full', 'espcn', 'PSNR: 33.24376928451213', 'eval_batch_size: 64', 'time/pic: 0.0001385349357970316']
['full', 'espcn', 'PSNR: 33.3785266754475', 'eval_batch_size: 64', 'time/pic: 0.00014575794530087018']
['full', 'espcn', 'PSNR: 34.34789864560391', 'eval_batch_size: 64', 'time/pic: 0.00014503466849326928']
['full', 'espcn', 'PSNR: 32.56464002893326', 'eval_batch_size: 64', 'time/pic: 0.00014760283113799313']
['full', 'espcn', 'PSNR: 30.836139662722324', 'eval_batch_size: 64', 'time/pic: 0.00014852975268581496']
['full', 'espcn', 'PSNR: 31.12950585953733', 'eval_batch_size: 64', 'time/pic: 0.0001517557144990154']
['full', 'espcn', 'PSNR: 32.34495953093184', 'eval_batch_size: 64', 'time/pic: 0.00014836598321691828']
['full', 'espcn', 'PSNR: 34.06449026960008', 'eval_batch_size: 64', 'time/pic: 0.00015199222896647395']
['full', 'espcn', 'PSNR: 33.27786187111063', 'eval_batch_size: 64', 'time/pic: 0.00014929247633962042']
['full', 'espcn', 'PSNR: 34.77002462021848', 'eval_batch_size: 64', 'time/pic: 0.00014855344300817355']
['full', 'espcn', 'PSNR: 34.165235300267', 'eval_batch_size: 64', 'time/pic: 0.00014765897069626816']
['full', 'espcn', 'PSNR: 32.851460615117496', 'eval_batch_size: 64', 'time/pic: 0.00014840315306294973']
['full', 'espcn', 'PSNR: 32.61432008540377', 'eval_batch_size: 64', 'time/pic: 0.00015408313396167352']
['full', 'espcn', 'PSNR: 33.36121713760051', 'eval_batch_size: 64', 'time/pic: 0.00016700091296466336']
['full', 'espcn', 'PSNR: 34.01150086585512', 'eval_batch_size: 64', 'time/pic: 0.0001691274407151844']
['full', 'espcn', 'PSNR: 35.153015518188475', 'eval_batch_size: 64', 'time/pic: 0.00015333575427419139']
['full', 'espcn', 'PSNR: 33.75303912872964', 'eval_batch_size: 64', 'time/pic: 0.00014713894987276107']
['full', 'espcn', 'PSNR: 32.87261449123951', 'eval_batch_size: 64', 'time/pic: 0.00014907563769247308']
['full', 'espcn', 'PSNR: 34.386500127264796', 'eval_batch_size: 64', 'time/pic: 0.0001492151376717198']
['full', 'espcn', 'PSNR: 33.85775456529983', 'eval_batch_size: 64', 'time/pic: 0.00014877675563490714']
['full', 'espcn', 'PSNR: 35.1595740095098', 'eval_batch_size: 64', 'time/pic: 0.00014869668774031817']
['full', 'espcn', 'PSNR: 32.114598684108', 'eval_batch_size: 64', 'time/pic: 0.00014991984939080125']
['full', 'espcn', 'PSNR: 32.560736449221345', 'eval_batch_size: 64', 'time/pic: 0.00014561416107042668']
['full', 'espcn', 'PSNR: 31.445628405631858', 'eval_batch_size: 64', 'time/pic: 0.00015045239768215972']
['full', 'espcn', 'PSNR: 33.392438681582185', 'eval_batch_size: 64', 'time/pic: 0.00014931369131684308']
['full', 'espcn', 'PSNR: 35.69320481482973', 'eval_batch_size: 64', 'time/pic: 0.00014670797800375916']
['full', 'espcn', 'PSNR: 35.68524235258711', 'eval_batch_size: 64', 'time/pic: 0.0001584262301420349']
['full', 'espcn', 'PSNR: 35.689489539126136', 'eval_batch_size: 64', 'time/pic: 0.0001658713542690317']
